BiochemicalReaction54	CD320 transports extracellular TCII:Cbl to endosome	Complex46	Complex47	
BiochemicalReaction54	CD320 transports extracellular TCII:Cbl to endosome	Protein63	Complex47	
BiochemicalReaction55	CD320:TCII:Cbl dissociates into CD320 and TCII:Cbl	Complex47	Complex48	
BiochemicalReaction55	CD320:TCII:Cbl dissociates into CD320 and TCII:Cbl	Complex47	Protein63	
BiochemicalReaction56	Endosomal TCII:Cbl translocates to lysosome	Complex48	Complex49	
BiochemicalReaction57	TCII:Cbl is degraded to release Cbl	Complex49	Protein66	
BiochemicalReaction57	TCII:Cbl is degraded to release Cbl	Complex49	SmallMolecule57	
BiochemicalReaction58	SLC5A6 cotransports extracellular Btn and 2xNa+ to cytosol	SmallMolecule3	SmallMolecule6	
BiochemicalReaction58	SLC5A6 cotransports extracellular Btn and 2xNa+ to cytosol	SmallMolecule82	SmallMolecule6	
BiochemicalReaction58	SLC5A6 cotransports extracellular Btn and 2xNa+ to cytosol	SmallMolecule82	SmallMolecule83	
BiochemicalReaction58	SLC5A6 cotransports extracellular Btn and 2xNa+ to cytosol	SmallMolecule3	SmallMolecule83	
BiochemicalReaction59	HLCS biotinylates PCCA:PCCB	SmallMolecule18	SmallMolecule20	
BiochemicalReaction59	HLCS biotinylates PCCA:PCCB	SmallMolecule83	SmallMolecule20	
BiochemicalReaction59	HLCS biotinylates PCCA:PCCB	Complex50	SmallMolecule20	
BiochemicalReaction59	HLCS biotinylates PCCA:PCCB	Complex50	SmallMolecule30	
BiochemicalReaction59	HLCS biotinylates PCCA:PCCB	SmallMolecule83	SmallMolecule30	
BiochemicalReaction59	HLCS biotinylates PCCA:PCCB	SmallMolecule18	SmallMolecule30	
BiochemicalReaction59	HLCS biotinylates PCCA:PCCB	Complex50	Complex52	
BiochemicalReaction59	HLCS biotinylates PCCA:PCCB	SmallMolecule83	Complex52	
BiochemicalReaction59	HLCS biotinylates PCCA:PCCB	SmallMolecule18	Complex52	
BiochemicalReaction6	Thiamin transport across the plasma membrane	SmallMolecule16	SmallMolecule17	
BiochemicalReaction60	HLCS biotinylates PC:Mn2+	SmallMolecule18	SmallMolecule20	
BiochemicalReaction60	HLCS biotinylates PC:Mn2+	SmallMolecule83	SmallMolecule20	
BiochemicalReaction60	HLCS biotinylates PC:Mn2+	Complex54	SmallMolecule20	
BiochemicalReaction60	HLCS biotinylates PC:Mn2+	Complex54	SmallMolecule30	
BiochemicalReaction60	HLCS biotinylates PC:Mn2+	SmallMolecule83	SmallMolecule30	
BiochemicalReaction60	HLCS biotinylates PC:Mn2+	SmallMolecule18	SmallMolecule30	
BiochemicalReaction60	HLCS biotinylates PC:Mn2+	Complex54	Complex55	
BiochemicalReaction60	HLCS biotinylates PC:Mn2+	SmallMolecule83	Complex55	
BiochemicalReaction60	HLCS biotinylates PC:Mn2+	SmallMolecule18	Complex55	
BiochemicalReaction61	HLCS biotinylates MCCC1:MCCC2	SmallMolecule18	Complex57	
BiochemicalReaction61	HLCS biotinylates MCCC1:MCCC2	SmallMolecule83	Complex57	
BiochemicalReaction61	HLCS biotinylates MCCC1:MCCC2	Complex56	Complex57	
BiochemicalReaction61	HLCS biotinylates MCCC1:MCCC2	Complex56	SmallMolecule20	
BiochemicalReaction61	HLCS biotinylates MCCC1:MCCC2	SmallMolecule83	SmallMolecule20	
BiochemicalReaction61	HLCS biotinylates MCCC1:MCCC2	SmallMolecule18	SmallMolecule20	
BiochemicalReaction61	HLCS biotinylates MCCC1:MCCC2	Complex56	SmallMolecule30	
BiochemicalReaction61	HLCS biotinylates MCCC1:MCCC2	SmallMolecule83	SmallMolecule30	
BiochemicalReaction61	HLCS biotinylates MCCC1:MCCC2	SmallMolecule18	SmallMolecule30	
BiochemicalReaction62	Cytoslic carboxylases translocate to mitochondrial matrix	Complex58	Complex59	
BiochemicalReaction63	HLCS biotinylates ACACA	Complex64	Complex65	
BiochemicalReaction63	HLCS biotinylates ACACA	SmallMolecule18	Complex65	
BiochemicalReaction63	HLCS biotinylates ACACA	SmallMolecule83	Complex65	
BiochemicalReaction63	HLCS biotinylates ACACA	SmallMolecule83	SmallMolecule20	
BiochemicalReaction63	HLCS biotinylates ACACA	SmallMolecule18	SmallMolecule20	
BiochemicalReaction63	HLCS biotinylates ACACA	Complex64	SmallMolecule20	
BiochemicalReaction63	HLCS biotinylates ACACA	SmallMolecule83	SmallMolecule30	
BiochemicalReaction63	HLCS biotinylates ACACA	SmallMolecule18	SmallMolecule30	
BiochemicalReaction63	HLCS biotinylates ACACA	Complex64	SmallMolecule30	
BiochemicalReaction64	HLCS biotinylates ACACB	SmallMolecule18	Complex67	
BiochemicalReaction64	HLCS biotinylates ACACB	SmallMolecule83	Complex67	
BiochemicalReaction64	HLCS biotinylates ACACB	Complex66	Complex67	
